	DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
35860;LYNGØR FYR;Jul 1920;;4;58.6361;9.1479;Tvedestrand;Aust-Agder;AGDER
36200;TORUNGEN FYR;Jul 1867;;12;58.3988;8.7893;Arendal;Aust-Agder;AGDER
36560;NELAUG;Jul 1966;;142;58.6582;8.6300;Åmli;Aust-Agder;AGDER
38140;LANDVIK;Jan 1957;;6;58.3400;8.5225;Grimstad;Aust-Agder;AGDER
39690;BYGLANDSFJORD - SOLBAKKEN;Dec 1969;Apr 2012;212;58.6662;7.8085;Bygland;Aust-Agder;AGDER
40250;VALLE;Jan 1872;;308;59.1972;7.5273;Valle;Aust-Agder;AGDER
40480;SANDDOKKRYGGEN;Oct 1975;Apr 1993;1105;59.3500;6.9833;Bykle;Aust-Agder;AGDER
40481;SANDDOKKI;Mar 1977;Apr 1993;1060;59.3437;6.9777;Bykle;Aust-Agder;AGDER
40880;HOVDEN - LUNDANE;Nov 1994;;841;59.5766;7.3897;Bykle;Aust-Agder;AGDER

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
36560 No data for TAND, TAXD
********************************************
****************** NOTE *****************
39690 No data for TAND, TAXD
********************************************
****************** NOTE *****************
40480 No data for TAN, TAND, TAX, TAXD
********************************************
****************** NOTE *****************
40481 No data for TAN, TAND, TAX, TAXD
********************************************
****************** NOTE *****************
No data for: 39690, 39690, 39690, 39690, 39690, 39690, 39690, 39690, 40880, 40880, 40880, 40880, 40880, 40880, 40880, 40880, 40880, 40880, 40880, 40880
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
35860;01.01.1989;4.5;LU;2.1;LU;-9999;-9999;9.5;LU;-9999;-9999
35860;02.01.1989;5.8;LU;2.0;LU;-9999;-9999;7.2;LU;-9999;-9999
35860;03.01.1989;6.2;LU;5.9;LU;-9999;-9999;7.2;LU;-9999;-9999
35860;04.01.1989;6.1;LU;5.2;LU;-9999;-9999;6.6;LU;-9999;-9999
35860;05.01.1989;4.6;LU;3.8;LU;-9999;-9999;6.7;LU;-9999;-9999
35860;06.01.1989;2.9;LU;1.2;LU;-9999;-9999;5.5;LU;-9999;-9999
35860;07.01.1989;4.0;LU;3.6;LU;-9999;-9999;5.8;LU;-9999;-9999
35860;08.01.1989;8.2;LU;4.0;LU;-9999;-9999;11.4;LU;-9999;-9999
35860;09.01.1989;7.1;LU;5.5;LU;-9999;-9999;9.8;LU;-9999;-9999
35860;10.01.1989;4.4;LU;3.6;LU;-9999;-9999;8.6;LU;-9999;-9999
35860;11.01.1989;4.1;LU;2.1;LU;-9999;-9999;6.4;LU;-9999;-9999
35860;12.01.1989;6.7;LU;5.9;LU;-9999;-9999;7.0;LU;-9999;-9999
35860;13.01.1989;5.4;LU;4.4;LU;-9999;-9999;7.2;LU;-9999;-9999
35860;14.01.1989;6.6;LU;4.4;LU;-9999;-9999;8.0;LU;-9999;-9999
35860;15.01.1989;10.1;LU;5.5;LU;-9999;-9999;11.9;LU;-9999;-9999
35860;16.01.1989;8.7;LU;8.0;LU;-9999;-9999;11.2;LU;-9999;-9999
35860;17.01.1989;5.8;LU;5.2;LU;-9999;-9999;9.4;LU;-9999;-9999
35860;18.01.1989;6.3;LU;3.6;LU;-9999;-9999;8.7;LU;-9999;-9999
35860;19.01.1989;7.9;LU;7.2;LU;-9999;-9999;9.5;LU;-9999;-9999
35860;20.01.1989;6.6;LU;6.2;LU;-9999;-9999;7.5;LU;-9999;-9999
35860;21.01.1989;5.5;LU;4.2;LU;-9999;-9999;6.8;LU;-9999;-9999
35860;22.01.1989;3.7;LU;2.2;LU;-9999;-9999;6.3;LU;-9999;-9999
