DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
17980;OSLO - LJABRUVEIEN;Jan 2000;;92;59.8427;10.8236;Oslo;Oslo;SOUTHEASTERN NORWAY
18210;OSLO - HOVIN;Jan 1999;;100;59.9230;10.8040;Oslo;Oslo;SOUTHEASTERN NORWAY
18269;OSLO - HAUGENSTUA;Jan 2000;;123;59.9540;10.9050;Oslo;Oslo;SOUTHEASTERN NORWAY
18420;OSLO - DISEN;Jun 1998;;130;59.9463;10.7903;Oslo;Oslo;SOUTHEASTERN NORWAY
18815;OSLO - BYGDØY;Jan 2000;;15;59.9050;10.6828;Oslo;Oslo;SOUTHEASTERN NORWAY
18920;OSLO - BESSERUD;Sep 1998;;177;59.9573;10.6710;Oslo;Oslo;SOUTHEASTERN NORWAY
18980;OSLO - LILLEAKER;Jan 2000;;39;59.9203;10.6343;Oslo;Oslo;SOUTHEASTERN NORWAY
26990;SANDE - GALLEBERG;Jan 1995;;60;59.6193;10.2150;Sande;Vestfold;SOUTHEASTERN NORWAY
27270;TØNSBERG - KILEN;Jan 1999;;3;59.2782;10.4312;Tønsberg;Vestfold;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
No data for: 18210, 18210, 18210, 18210, 18210, 18210, 18210, 18210, 18210, 18210, 18210, 18269, 18420, 18980
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
17980;20.08.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;21.08.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;29.08.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;07.09.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;08.09.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;29.09.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;05.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;07.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;08.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;10.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;11.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;14.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;23.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;26.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;29.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;31.10.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;02.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;03.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;04.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;05.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;08.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;10.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;12.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;13.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;23.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;24.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;29.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;30.11.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;02.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;05.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;07.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;09.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;13.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;29.12.2000;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;02.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;03.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;05.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;06.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;08.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;23.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
17980;24.01.2001;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
