DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
18020;OSLO - LAMBERTSETER;May 1985;;135;59.8783;10.7857;Oslo;Oslo;SOUTHEASTERN NORWAY
18270;OSLO - VESTLI;Apr 1974;;200;59.9667;10.9333;Oslo;Oslo;SOUTHEASTERN NORWAY
18320;OSLO - HAUSMANNSGT;Jun 1984;Nov 2013;12;59.9305;10.7545;Oslo;Oslo;SOUTHEASTERN NORWAY
18500;BJØRNHOLT;Jan 1876;;360;60.0513;10.6878;Oslo;Oslo;SOUTHEASTERN NORWAY
18700;OSLO - BLINDERN;Jan 1931;;94;59.9423;10.7200;Oslo;Oslo;SOUTHEASTERN NORWAY
18701;OSLO - BLINDERN PLU;Apr 1968;;94;59.9423;10.7201;Oslo;Oslo;SOUTHEASTERN NORWAY
18950;TRYVANNSHØGDA;Aug 1927;;514;59.9847;10.6693;Oslo;Oslo;SOUTHEASTERN NORWAY
18960;TRYVASSHØGDA II;Jan 1976;Jun 1997;528;59.9886;10.6678;Oslo;Oslo;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
18270 No data for TAN, TAND, TAX, TAXD
********************************************
****************** NOTE *****************
18960 No data for TAND, TAXD
********************************************
****************** NOTE *****************
18320 No data for TAN, TAND, TAX, TAXD
********************************************
****************** NOTE *****************
No data for: 18270, 18270, 18270, 18270, 18270, 18270, 18270, 18270, 18270, 18270, 18270, 18320, 18500, 18700
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
18020;05.01.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;14.02.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;18.02.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;19.02.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;27.02.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;05.03.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;08.03.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;09.03.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;10.03.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;01.09.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;08.09.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;21.09.1989;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;26.02.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;09.03.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;14.03.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;21.03.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;03.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;04.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;11.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;15.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;16.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;18.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;29.04.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;02.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;19.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;20.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;21.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;23.06.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;05.07.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.07.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;29.07.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;04.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;06.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;08.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;13.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;16.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;17.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;18.08.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;19.09.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;22.09.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;23.09.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;04.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;13.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;28.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;29.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;30.10.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;14.11.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;12.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;18.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;23.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;24.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;25.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;26.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;27.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;29.12.1990;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;01.01.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;04.01.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;06.01.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;08.01.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;09.02.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;22.02.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;23.02.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.03.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;14.03.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
18020;07.04.1991;-9999;LU;-9999;LU;-9999;-9999;-9999;LU;-9999;-9999
