DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
39040;KJEVIK;Jun 1939;;12;58.2000;8.0767;Kristiansand;Vest-Agder;AGDER
39100;OKSØY FYR;May 1864;;9;58.0732;8.0532;Kristiansand;Vest-Agder;AGDER
39150;KRISTIANSAND - SØMSKLEIVA;Nov 1974;;12;58.1505;8.0527;Kristiansand;Vest-Agder;AGDER
41110;MANDAL II;Jun 1949;Aug 2007;138;58.0475;7.4472;Mandal;Vest-Agder;AGDER
41480;ÅSERAL;Jul 1895;;268;58.6172;7.4128;Åseral;Vest-Agder;AGDER
41660;KONSMO - EIKELAND;Jul 1964;May 1989;260;58.2500;7.3167;Audnedal;Vest-Agder;AGDER
41670;KONSMO - HØYLAND;Jan 1992;Jun 2016;263;58.2670;7.3807;Audnedal;Vest-Agder;AGDER
41680;KONSMO - HÆGELAND;Jan 1951;Nov 1990;320;58.2677;7.3121;Audnedal;Vest-Agder;AGDER
41770;LINDESNES FYR;Jan 1863;;16;57.9826;7.0478;Lindesnes;Vest-Agder;AGDER
42160;LISTA FYR;Jul 1867;;14;58.1090;6.5675;Farsund;Vest-Agder;AGDER
42550;SOLHOM I KVINESDAL;Jan 1979;May 2010;650;58.7667;7.0167;Kvinesdal;Vest-Agder;AGDER
42600;SIRDAL - ROSKREPP;Jan 1990;May 2010;840;59.0267;7.0833;Sirdal;Vest-Agder;AGDER
42920;SIRDAL - TJØRHOM;Sep 1974;Apr 2010;500;58.8875;6.8485;Sirdal;Vest-Agder;AGDER
42921;SIRDAL - TJØRHOM II;Jan 1998;May 2010;500;58.8858;6.8442;Sirdal;Vest-Agder;AGDER
43000;SIRDAL - DUGE;Jan 1990;Jun 2004;760;59.1193;6.8938;Sirdal;Vest-Agder;AGDER

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAX;Maximum temperature;degC


****************** NOTE *****************
42550 No data for TAN, TAX
********************************************
****************** NOTE *****************
42600 No data for TAN, TAX
********************************************
****************** NOTE *****************
43000 No data for TAN, TAX
********************************************
****************** NOTE *****************
42921 No data for TAN, TAX
********************************************
****************** NOTE *****************
No data for: 39150, 39150, 39150, 39150, 39150, 39150, 39150, 41110, 41670, 41670, 41670, 41670, 41670, 41670, 41680, 41680, 42600, 42600, 42600, 42600, 42600, 42600, 42600, 42600, 42600, 42600, 42920, 42920, 42921
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAX;fTAX
39040;01.01.1989;4.0;LU;0.0;LU;7.3;LU
39040;02.01.1989;4.8;LU;-1.1;LU;8.3;LU
39040;03.01.1989;5.7;LU;4.7;LU;7.2;LU
39040;04.01.1989;5.9;LU;4.3;LU;7.2;LU
39040;05.01.1989;4.3;LU;2.4;LU;7.1;LU
39040;06.01.1989;1.3;LU;-3.9;LU;5.1;LU
39040;07.01.1989;3.7;LU;1.5;LU;5.6;LU
39040;08.01.1989;7.0;LU;2.1;LU;12.0;LU
39040;09.01.1989;6.6;LU;2.9;LU;9.4;LU
39040;10.01.1989;4.3;LU;3.3;LU;7.1;LU
39040;11.01.1989;3.2;LU;0.1;LU;6.8;LU
39040;12.01.1989;6.9;LU;5.9;LU;8.0;LU
39040;13.01.1989;4.1;LU;1.7;LU;7.1;LU
39040;14.01.1989;6.4;LU;0.3;LU;8.5;LU
39040;15.01.1989;9.5;LU;6.1;LU;11.3;LU
39040;16.01.1989;9.3;LU;7.8;LU;12.0;LU
39040;17.01.1989;6.2;LU;4.6;LU;9.1;LU
39040;18.01.1989;6.8;LU;3.5;LU;8.3;LU
39040;19.01.1989;7.9;LU;6.2;LU;9.0;LU
39040;20.01.1989;6.9;LU;6.0;LU;8.3;LU
39040;21.01.1989;5.4;LU;3.9;LU;7.8;LU
39040;22.01.1989;1.9;LU;-0.1;LU;6.5;LU
39040;23.01.1989;6.5;LU;-2.7;LU;8.3;LU
39040;24.01.1989;6.3;LU;4.3;LU;8.4;LU
39040;25.01.1989;5.4;LU;4.2;LU;7.7;LU
39040;26.01.1989;4.6;LU;1.4;LU;7.0;LU
39040;27.01.1989;6.7;LU;5.0;LU;8.0;LU
39040;28.01.1989;7.7;LU;5.2;LU;10.1;LU
39040;29.01.1989;7.4;LU;3.8;LU;9.6;LU
39040;30.01.1989;9.8;LU;6.4;LU;11.9;LU
39040;31.01.1989;9.7;LU;6.8;LU;13.1;LU
39040;01.02.1989;6.2;LU;5.0;LU;10.5;LU
39040;02.02.1989;7.1;LU;5.3;LU;8.7;LU
39040;03.02.1989;7.2;LU;6.4;LU;9.8;LU
39040;04.02.1989;7.7;LU;6.3;LU;9.0;LU
39040;05.02.1989;4.2;LU;2.2;LU;8.1;LU
39040;06.02.1989;10.0;LU;3.4;LU;11.7;LU
39040;07.02.1989;8.5;LU;7.5;LU;11.5;LU
39040;08.02.1989;3.9;LU;1.4;LU;8.1;LU
39040;09.02.1989;3.9;LU;-0.1;LU;6.5;LU
39040;10.02.1989;5.7;LU;4.6;LU;6.9;LU
39040;11.02.1989;6.3;LU;4.0;LU;7.9;LU
39040;12.02.1989;5.1;LU;3.0;LU;7.5;LU
39040;13.02.1989;3.3;LU;-0.3;LU;6.8;LU
39040;14.02.1989;3.1;LU;0.5;LU;7.3;LU
39040;15.02.1989;5.2;LU;0.0;LU;8.7;LU
39040;16.02.1989;1.4;LU;-0.7;LU;4.7;LU
39040;17.02.1989;-0.2;LU;-3.2;LU;4.6;LU
39040;18.02.1989;2.8;LU;-1.7;LU;4.6;LU
39040;19.02.1989;6.5;LU;1.7;LU;9.7;LU
39040;20.02.1989;3.6;LU;0.3;LU;7.0;LU
39040;21.02.1989;2.6;LU;-0.4;LU;5.0;LU
39040;22.02.1989;2.7;LU;-0.6;LU;6.2;LU
39040;23.02.1989;2.3;LU;-0.4;LU;5.9;LU
39040;24.02.1989;1.9;LU;-0.1;LU;5.8;LU
39040;25.02.1989;3.8;LU;0.3;LU;6.2;LU
39040;26.02.1989;4.3;LU;1.1;LU;5.8;LU
39040;27.02.1989;3.4;LU;0.9;LU;5.9;LU
39040;28.02.1989;4.3;LU;2.4;LU;6.3;LU
39040;01.03.1989;3.7;LU;1.7;LU;6.1;LU
39040;02.03.1989;2.6;LU;-1.4;LU;6.8;LU
39040;03.03.1989;3.4;LU;1.7;LU;5.1;LU
39040;04.03.1989;3.7;LU;1.4;LU;5.3;LU
39040;05.03.1989;5.6;LU;2.7;LU;9.5;LU
39040;06.03.1989;6.5;LU;2.8;LU;9.2;LU
39040;07.03.1989;6.8;LU;5.7;LU;8.5;LU
