DAILY VALUES

Stations
Stnr;Name;Operates from;Operates until;Altitude;Latitude;Longitude;Municipality;County;Region
27400;NØTTERØY - FØYNLAND;Jul 1895;;2;59.2366;10.4560;Færder;Vestfold;SOUTHEASTERN NORWAY
27410;MÅKERØY;Dec 1967;Sep 1994;43;59.1578;10.4402;Færder;Vestfold;SOUTHEASTERN NORWAY
27450;MELSOM;Apr 1959;;26;59.2300;10.3483;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27470;TORP;Sep 1959;;88;59.1845;10.2553;Sandefjord;Vestfold;SOUTHEASTERN NORWAY
27500;FÆRDER FYR;Jan 1885;;6;59.0272;10.5242;Færder;Vestfold;SOUTHEASTERN NORWAY

Elements
Code;Name;Unit
TAM;Mean temperature;degC
TAN;Minimum temperature;degC
TAND;Air temperatur;degC
TAX;Maximum temperature;degC
TAXD;Air temperature;degC


****************** NOTE *****************
27470 No data for TAND, TAXD
********************************************
****************** NOTE *****************
27410 No data for TAND, TAXD
********************************************
****************** NOTE *****************
No data for: 27470, 27470, 27470, 27470, 27470, 27470
********************************************

Quality information for calculated values
Explanation;Code
OK;OK
Slightly uncertain;LU
Very uncertain;SU
Very uncertain, modeldata;SU-M
Erroneous;FE

****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain, modeldata' (Level 6 or more).
********************************************

St.no;Date;TAM;fTAM;TAN;fTAN;TAND;fTAND;TAX;fTAX;TAXD;fTAXD
27400;31.12.2015;3.6;OK;1.5;-9999;-9999;-9999;4.6;-9999;-9999;-9999
27400;01.01.2016;4.8;OK;3.9;-9999;3.9;-9999;6.3;-9999;6.3;-9999
27400;02.01.2016;-0.2;OK;-2.4;-9999;-2.8;-9999;4.4;-9999;3.8;-9999
27400;03.01.2016;-3.4;OK;-3.9;-9999;-3.9;-9999;-2.0;-9999;-2.2;-9999
27400;04.01.2016;-4.9;OK;-5.4;-9999;-5.4;-9999;-3.7;-9999;-3.8;-9999
27400;05.01.2016;-6.1;OK;-6.3;-9999;-8.4;-9999;-4.8;-9999;-4.8;-9999
27400;06.01.2016;-9.0;OK;-11.2;-9999;-11.2;-9999;-5.9;-9999;-7.5;-9999
27400;07.01.2016;-9.5;OK;-11.3;-9999;-11.3;-9999;-8.6;-9999;-8.6;-9999
27400;08.01.2016;-6.7;OK;-9.2;-9999;-8.3;-9999;-5.7;-9999;-5.7;-9999
27400;09.01.2016;-6.9;OK;-7.2;-9999;-7.2;-9999;-6.4;-9999;-6.5;-9999
27400;10.01.2016;-4.4;OK;-7.3;-9999;-7.3;-9999;-3.0;-9999;-3.0;-9999
27400;11.01.2016;-0.9;OK;-3.4;-9999;-2.5;-9999;-0.1;-9999;-0.1;-9999
27400;12.01.2016;-1.7;OK;-2.1;-9999;-2.1;-9999;-0.5;-9999;-0.5;-9999
